full name,code,Sector_main,sector,EPS,P/E,DY,DPS,RSI_status,Stochastic_status,Market_Cap (M),risk_klse,ta,tl,te,debt_ratio,debt-equity_ratio,risk_pdf,risk
CCK CONSOLIDATED HOLDINGS BERHAD,7035, Main Market,Consumer Products & Services ,4.42,15,0,0,Neutral,Neutral,406.8,medium,,,,,,,medium
CENSOF HOLDINGS BERHAD,5195, Main Market,Technology ,-2.15,-7,0,0,Neutral,Neutral,75.3,high,,,,,,,high
CENTRAL INDUSTRIAL CORPORATION BERHAD,8052, Main Market,Industrial Products & Services ,-4.01,-15,0,0,Neutral,Overbought,53.1,high,,,,,,,high
CEPATWAWASAN GROUP BERHAD,8982, Main Market,Plantation ,1.63,37,0.025,1.5,Neutral,Oversold,191.1,medium,516773000,157145000,359628000,0.304089029,0.43696542,low,medium
CHEETAH HOLDINGS BERHAD,7209, Main Market,Consumer Products & Services ,0.49,71,0.0114,0.4,Neutral,Neutral,44.7,medium,,,,,,,medium
CHIN WELL HOLDINGS BERHAD,5007, Main Market,Industrial Products & Services ,20.08,9,0.0478,8.6,Neutral,Neutral,539.2,medium,,,,,,,medium
CHINA OUHUA WINERY HOLDINGS LIMITED,5188, Main Market,Consumer Products & Services ,-1.63,-3,0,0,Neutral,Neutral,36.7,high,,,,,,,high
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.57,6,0.0312,4.96,Neutral,Neutral,209.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.57,6,0.0312,4.96,Neutral,Neutral,209.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.57,6,0.0312,4.96,Neutral,Neutral,209.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.57,6,0.0312,4.96,Neutral,Neutral,209.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0318,4.96,Neutral,Neutral,205.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0318,4.96,Neutral,Neutral,205.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0318,4.96,Neutral,Neutral,205.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0318,4.96,Neutral,Neutral,205.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0314,4.96,Neutral,Neutral,208.1,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0314,4.96,Neutral,Neutral,208.1,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0314,4.96,Neutral,Neutral,208.1,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0314,4.96,Neutral,Neutral,208.1,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0312,4.96,Neutral,Neutral,209.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0312,4.96,Neutral,Neutral,209.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0312,4.96,Neutral,Neutral,209.4,medium,,,,,,,medium
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,24.58,6,0.0312,4.96,Neutral,Neutral,209.4,medium,,,,,,,medium
CHUAN HUAT RESOURCES BHD,7016, Main Market,Industrial Products & Services ,4.71,8,0.0278,1.1,Neutral,Overbought,66.6,medium,88484950,149458,88335492,0.001689078,0.001691936,low,medium
