company,code,ta,tl,te,net_o,net_i,net_f
UTUSAN MELAYU (M) BHD,5754,294435040,-88448670,382883710,16484383,442512,-24692199
MAJUPERAK HOLDINGS BHD,8141,196621132,20615396,176005736,2232372,12238,-1324642
LFE CORPORATION BHD,7170,55707412,418558,55288854,-1248869,250000,1000000
BERTAM ALLIANCE BHD,9814,173830216,76524580,97305636,-5320074,-5724241,-28459107
M3 TECHNOLOGIES(ASIA)BHD,17,45038698,6649847,38388851,-12386233,890646,-498512
PEGASUS HEIGHTS BERHAD,4464,112688000,819000,111869000,-1726000,-19506000,20955000
INCH KENNETH KAJANG RUBBER PLC,2607,476610000,25299000,451311000,-10563000,10801000,-4322000
EKA NOODLES BERHAD,7182,57503039,88172092,-30669053,218187,59648,-165579
SMRT HOLDINGS BERHAD,117,123773083,29455967,94317116,2176302,18942888,-21202834
OCK GROUP BERHAD,172,333177000,187000,332990000,739000,-263000,-726000
ZELAN BHD,2283,568706000,567914000,792000,-4200000,1486000,4311000
MCT BERHAD,5182,1611944227,1540195517,71748710,1031928,-22607921,33657838
DOLPHIN INTERNATIONAL BERHAD,5265,20971022,2018938,18952084,-442307,-3437223,
SINMAH CAPITAL BERHAD,9776,82918000,250000,82668000,-14815000,-15000000,30239000
SARAWAK CONSOLIDATED IND BHD,9237,48326719,3668359,44658360,-1503989,-87419,1931230
MESINIAGA BHD,5011,171266000,67374000,103892000,6201000,-1526000,-6514000
KNUSFORD BHD,5035,155867000,7752000,148115000,5172000,2328000,-6057000
