extracted_code,extracted_date,news
0079,2019-04-18,"Orion IXL active, up 5.88% as CIMB Research starts coverage"
0079,2019-04-20,Short Position
0079,2019-04-30,区域股市回落 马股小幅上涨
0079,2019-04-30,豪华耀星9.5亿收购升级 日商建东盟最大数据中心
0079,2019-04-05,Orion IXL signs MoU with SME Bank to provide technology services
0079,2019-04-18,"CIMB Research starts coverage on Orion IXL, target price 33 sen"
0079,2019-04-19,Bright prospects seen for Orion with Asean microloan industry growth
0080,2019-04-19,Market volatility is expected to be temporary — RHB Bank
0080,2019-04-19,Lim Kok Thay confident Genting will be picked for Japan casino
0080,2019-04-19,Mindef in ‘military assets-for-palm oil’ barter deal talks with other nations
0080,2019-04-22,Landed starter homes in Setia Alam see strong take-up
0080,2019-04-17,Maybank slips on exposure to Hyflux
0080,2019-03-26,Anwar says Nurul Izzah's statement made according to PH openness principle
0080,2019-03-27,SIL to benefit if regulatory action enforced
0080,2019-03-27,Anwar reaffirms support for Dr M
0080,2019-04-23,74 percent of country's land border with neighbouring nations finalised — Dr Jayakumar
0080,2019-04-18,"Singapore PUB takes over Tuaspring plant, Maybank shares down"
0080,2019-04-12,Watch out for market complacency as risks mount
0080,2019-04-11,E&O constructing first bridge to STP2
0080,2019-04-11,Politics and Policy: Nurul Izzah’s disappointment
0080,2019-04-11,Rags-to-riches tale turns sour for Olivia Lum
0080,2019-04-11,Penang plans Digital Penang unit to keep pace with technology
0080,2019-04-09,"Dr Mahathir, Hsien Loong praise authorities over cooperation in 1MDB investigation"
0080,2019-04-09,"Insider Moves: Aturmaju Resources Bhd, Thriven Global Bhd, Straits Inter Logistics Bhd, Bahvest Resources Bhd, Malaysia Airports Holdings Bhd, Hartalega Holdings Bhd"
0080,2019-04-05,"Airbus Helicopters makes Malaysia Southeast Asia MRO, training hub"
0080,2019-04-25,Petronas offers gassing up and cooling down services at Pengerang
0080,2019-03-26,马银行投行开始覆盖 刺激海峡物流交投活络
0080,2019-04-25,Activist hedge fund urges Singapore REIT merger to boost value
0080,2019-03-26,"Dr M not dictator, just strict with weak Cabinet, says PAS chief"
0080,2019-03-28,Stock With Momentum: Straits Inter Logistics
0080,2019-03-28,"Prosecution witness coached by investigating officer, claims John Soh's lawyer"
0080,2019-04-01,积极发展知识密集工业‧槟办公楼具需求
0080,2019-04-30,Straits Inter Logistic terminates ship management agreement
0080,2019-04-29,Charting new course with Belt and Road Initiative
0080,2019-04-29,"PetGas secures 22-year steam supply deal, electricity supply extension from Polyplastics unit"
0080,2019-04-28,Petronas Gas to supply steam to Japan’s Polyplastics unit
0080,2019-04-26,RMN to acquire new assets to ensure sovereignty of Malaysian seas
0080,2019-04-26,"PM extends support for BRI, says it's shared responsibility for keeping seas unpolluted"
0080,2019-04-26,ECRL boost for Westports
0080,2019-04-01,Malaysia asks for another extension on Johor-Singapore RTS Link
0080,2019-04-02,"Insider Moves: APFT Bhd, Eversendai Corp Bhd, Ekovest Bhd, Straits Inter Logistics Bhd, Aturmaju Resources Bhd, AWC Bhd"
0080,2019-04-03,"KL shares end higher, KLCI up 10.38 points"
0080,2019-03-26,Nurul Izzah defends her stance in calling Dr Mahathir a dictator
0080,2019-03-26,Anwar Ibrahim reaffirms his support for Dr Mahathir
0080,2019-03-26,"Armada, Scomies, Komarkcorp, Rexit, Siggas, Straits Inter Logistics"
0080,2019-04-25,Sime DarProperty sells out first Affordable Collection homes
0080,2019-03-26,Straits Inter Logistics active after Maybank IB initiates coverage
0080,2019-03-26,"Maybank IB initiates coverage on Straits, Buy with TP of 38.5 sen"
0080,2019-03-26,Nurul Izzah should not give negative comments on Dr M
0080,2019-03-28,Singapore-Malaysia leaders' retreat in Putrajaya next month - report
0080,2019-03-27,"KIP REIT, Straits Inter Logistics, Scomi Energy"
0080,2019-03-28,"大马海峡物流
3年可复增74%"
0080,2019-03-25,"Hanipa: Dr M isn’t perfect, but who is?"
0080,2019-03-25,Rude awakening for Asia as volatility spikes back
0080,2019-03-25,"KLCI finds support at 1,650 mark, telcos among leading decliners"
0080,2019-03-25,Jho Low lashes out against home seizure
0080,2019-03-25,"KLCI tumbles amid global equity selloff, oil prices retreat"
0080,2019-03-22,"KLCI rebound fizzles, Maybank slides for second day"
0080,2019-03-25,"Talamt, Master-Pack, Straits Inter Logistics, Mudajaya and Sig Gases"
0080,2019-03-25,India’s crony capitalist edifice is creaking
0082,2019-03-26,"Green Packet, MYTV in contract dispute"
0082,2019-03-19,Green Packet seeks arbitration against MYTV
0082,2019-04-27,交投异常被质询·G3全球：与中企签备忘录
0082,2019-04-27,G3 Global banks on AI
0082,2019-04-25,G3 jumps 21% to new trading high
0083,2019-03-11,Notion VTec poised for growth with plant restoration
0083,2019-03-07,汽车业务稳健·NOTION有望转盈
0083,2019-03-04,The Week Ahead: Eyes on January exports and Bank Negara’s OPR decision
0090,2019-02-25,KLCI remains in red as select blue chips drag
