full name,code,Sector_main,sector,52w_low,52w_high,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap (M),RSI_status,RSI_value,Stochastic_status,Stochastic_value
NATIONWIDE EXPRESS HOLDINGS BERHAD,9806, Main Market,Transportation & Logistics ,0.2,0.52,-0.21,-3,-9.51,0,0,0.01,61.1,0,37.00,Neutral,51.8,Neutral,66.7
NEGRI SEMBILAN OIL PALMS BERHAD,2038, Main Market,Plantation ,3.11,3.8,3.07,14,24.01,8,0.0245,0.42,88.58,4,229.60,Neutral,48.7,Neutral,35
NESTLE (MALAYSIA) BERHAD,4707, Main Market,Consumer Products & Services ,125,163,100.71,53,280.98,415,0.0281,52.97,2353.54,6,34659.10,Neutral,46.9,Neutral,31.7
NETX HOLDINGS BERHAD,20, Ace Market,Technology ,0.01,0.04,-20,-2,-0.6,0,0,0.5,0.58,3,42.00,Neutral,44.3,Neutral,50
NEW HOONG FATT HOLDINGS BERHAD,7060, Main Market,Consumer Products & Services ,2.5,3.53,3.07,16,16.94,3,0.0111,0.49,310.89,1,223.20,Neutral,44.1,Neutral,55.6
NEXGRAM HOLDINGS BERHAD,96, Ace Market,Telecommunications & Media ,0.01,0.07,-0.38,-1,-2.78,0,0,0,2.48,1,41.40,Neutral,51.8,Overbought,100
NEXTGREEN GLOBAL BERHAD,7241, Main Market,Industrial Products & Services ,0.33,0.64,1.04,168,0.29,0,0,1.75,7.93,6,229.50,Neutral,55.8,Neutral,60
NI HSIN RESOURCES BERHAD,7215, Main Market,Consumer Products & Services ,0.15,0.345,2.09,43,0.67,0,0,0.91,10.32,3,93.20,Neutral,52.9,Neutral,58.3
NICHE CAPITAL EMAS HOLDINGS BERHAD,7139, Main Market,Consumer Products & Services ,0.035,0.05,16.56,7,0.48,0,0,1.21,1.34,3,24.60,Neutral,36.4,Oversold,0
NOTION VTEC BERHAD,83, Main Market,Technology ,0.515,0.79,17.78,3,21.45,1,0.0174,0.48,78.4,1,191.60,Neutral,40.8,Oversold,12
NOVA MSC BERHAD,26, Ace Market,Technology ,0.08,0.205,10.25,15,0.82,0,0,1.56,7.5,2,93.90,Neutral,51.7,Neutral,28.6
NOVA WELLNESS GROUP BERHAD,201, Ace Market,Health Care ,0.28,0.82,11.05,20,2.43,2.3,0.0469,2.23,8.03,6,155.70,Neutral,55.6,Oversold,14.3
NPC RESOURCES BERHAD,5047, Main Market,Plantation ,1.78,2,-14.42,-5,-37.06,1,0.005,0.78,190.34,1,240.00,Neutral,41.2,Overbought,100
NTPM HOLDINGS BERHAD,5066, Main Market,Consumer Products & Services ,0.485,0.655,3.35,37,1.34,1.6,0.0323,1.24,63.25,1,556.00,Neutral,47.3,Neutral,40
OCB BERHAD,5533, Main Market,Consumer Products & Services ,0.3,0.58,-2.35,-8,-4.85,0,0,0.2,239.98,0,41.70,Neutral,51.9,Neutral,70
OCEANCASH PACIFIC BERHAD,49, Main Market,Consumer Products & Services ,0.395,0.69,4.86,17,2.48,0.91,0.0212,0.84,34.72,1,105.50,Neutral,44.6,Neutral,58.3
OCK GROUP BERHAD,172, Main Market,Telecommunications & Media ,0.4,0.815,5.63,21,2.76,0,0,1.17,52.48,1,501.10,Neutral,56.4,Neutral,46.7
OCR GROUP BERHAD,7071, Main Market,Construction ,0.22,0.53,-7.8,-10,-2.27,0,0,0.81,9.97,2,75.60,Neutral,37,Neutral,27.3
OKA CORPORATION BHD,7140, Main Market,Industrial Products & Services ,0.555,1.45,8.64,10,6.48,4.13,0.0626,0.88,54.68,1,162.00,Neutral,66.8,Neutral,66.7
OLYMPIA INDUSTRIES BERHAD,3018, Main Market,Consumer Products & Services ,0.09,0.135,2.54,11,0.99,0,0,0.28,12.78,1,112.60,Neutral,56,Overbought,100
OMESTI BERHAD,9008, Main Market,Technology ,0.335,0.52,-76.68,-1,-25.84,0,0,1.1,56.06,1,176.70,Neutral,40.4,Neutral,28.6
ONLY WORLD GROUP HOLDINGS BERHAD,5260, Main Market,Consumer Products & Services ,0.46,1.23,5.29,13,4.98,0,0,0.66,48.98,1,173.20,Neutral,52.7,Oversold,14.8
OPCOM HOLDINGS BERHAD,35, Ace Market,Telecommunications & Media ,0.325,1.17,7.66,15,4.24,1.25,0.0192,1.17,55.92,1,104.80,Neutral,47.8,Neutral,26.9
OPENSYS (M) BERHAD,40, Ace Market,Technology ,0.26,0.375,17.89,10,3.4,1.25,0.0379,1.74,32.01,1,98.30,Neutral,51.5,Neutral,25
ORIENTAL HOLDINGS BERHAD,4006, Main Market,Consumer Products & Services ,5.82,6.88,7.64,8,80.74,6,0.0088,0.64,1029.96,1,4206.30,Neutral,60.2,Neutral,64.3
ORION IXL BERHAD,79, Ace Market,Technology ,0.04,0.185,1.41,80,0.21,0,0,1.11,1.82,9,98.80,Neutral,52.5,Neutral,33.3
ORNAPAPER BERHAD,5065, Main Market,Industrial Products & Services ,0.88,1.78,5.73,8,12.49,0,0,0.47,465.16,0,77.50,Neutral,58.8,Neutral,53.8
OSK HOLDINGS BERHAD,5053, Main Market,Property ,0.835,1.05,7.55,6,16.52,1.98,0.0205,0.44,57.47,2,2022.00,Neutral,53.3,Neutral,36.4
OVERSEA ENTERPRISE BERHAD,153, Ace Market,Consumer Products & Services ,0.11,0.2,-7.92,-6,-1.9,0,0,0.5,23.29,1,29.60,Neutral,44.4,Neutral,33.3
P.I.E. INDUSTRIAL BERHAD,7095, Main Market,Industrial Products & Services ,1.23,1.77,10.03,15,11.23,0,0,1.48,172.18,1,637.50,Neutral,60.6,Overbought,90.9
PADINI HOLDINGS BERHAD,7052, Main Market,Consumer Products & Services ,3.15,6.2,24.35,15,25.57,11.5,0.0305,3.59,257.72,1,2480.30,Neutral,55.2,Neutral,74.1
PAN MALAYSIA HOLDINGS BERHAD,1287, Main Market,Consumer Products & Services ,0.045,0.21,-3.29,-30,-0.17,0,0,0.97,0.87,6,46.40,Oversold,28.1,Neutral,25
PANASONIC MANUFACTURING MALAYSIA BERHAD,3719, Main Market,Consumer Products & Services ,33.5,41.9,13.17,21,178.52,248,0.0653,2.8,1940.78,2,2308.30,Neutral,46.9,Neutral,64.5
PANPAGES BERHAD,41, Main Market,Technology ,0.19,0.315,-117.59,-2,-9.76,0,0,2.65,5.84,4,58.40,Neutral,41.4,Oversold,0
PARAGON GLOBE BERHAD,3611, Main Market,Industrial Products & Services ,1,1.4,-1.52,-56,-1.96,0,0,0.85,20.48,5,205.30,Neutral,51.3,Overbought,100
PARAGON UNION BERHAD,9407, Main Market,Consumer Products & Services ,0.23,0.38,-0.2,-208,-0.12,0,0,0.41,73.51,0,17.50,Neutral,44.4,Oversold,0
PARAMOUNT CORPORATION BERHAD,1724, Main Market,Property ,1.77,2.26,8.83,10,22.16,2.5,0.0118,0.84,211.99,1,907.90,Neutral,47.8,Neutral,42.9
PARKSON HOLDINGS BERHAD,5657, Main Market,Consumer Products & Services ,0.225,0.65,-5.96,-2,-11.63,0,0,0.13,363.74,0,273.50,Neutral,52.9,Neutral,55.6
PARLO BERHAD,22, Ace Market,Consumer Products & Services ,0.07,0.18,-66.46,-2,-3.29,0,0,1.62,44.43,0,29.10,Neutral,50,Neutral,66.7
PASDEC HOLDINGS BERHAD,6912, Main Market,Property ,0.3,0.6,-5.4,-8,-4.69,0,0,0.45,37.51,1,156.10,Neutral,45.1,Neutral,25
PASUKHAS GROUP BERHAD,177, Ace Market,Industrial Products & Services ,0.045,0.14,-9.8,-5,-0.97,0,0,0.51,11.72,0,40.60,Neutral,35.9,Oversold,20
PBA HOLDINGS BHD,5041, Main Market,Utilities ,1.02,1.3,-14.33,-4,-30.09,1.75,0.0152,0.55,102.18,1,381.00,Neutral,41.5,Neutral,36.8
PCCS GROUP BERHAD,6068, Main Market,Consumer Products & Services ,0.185,0.32,10.37,4,6.57,1.12,0.038,0.47,210.37,0,62.00,Overbought,74.2,Neutral,78.3
PDZ HOLDINGS BHD,6254, Main Market,Transportation & Logistics ,0.025,0.075,-23.9,-2,-1.77,0,0,0.54,0.73,5,27.30,Neutral,56.8,Overbought,100
PECCA GROUP BERHAD,5271, Main Market,Industrial Products & Services ,0.685,1.37,8.26,14,7.33,3,0.0286,1.18,63.29,2,197.40,Overbought,72.8,Neutral,65.9
PEGASUS HEIGHTS BERHAD,4464, Main Market,Property ,0.015,0.045,-23.69,-2,-1.27,0,0,0.47,0.57,4,45.00,Neutral,59.3,Overbought,100
PELANGI PUBLISHING GROUP BHD.,7190, Main Market,Telecommunications & Media ,0.33,0.525,0.82,48,0.86,0.5,0.012,0.4,65.9,1,41.50,Neutral,57.2,Neutral,73.3
PENTAMASTER CORPORATION BERHAD,7160, Main Market,Technology ,1.7,3.87,16.03,19,18.04,0,0,3.07,133.36,3,1092.20,Neutral,67.1,Neutral,72.7
PERAK CORPORATION BERHAD,8346, Main Market,Transportation & Logistics ,0.295,0.97,-70.15,0,-95.88,0,0,0.31,198.1,0,42.00,Neutral,51.2,Neutral,55.6
PERISAI PETROLEUM TEKNOLOGI BHD,47, Main Market,Energy ,0.005,0.065,120.09,0,-39.63,0,0,-0.02,9.87,0,6.30,Neutral,33.4,Oversold,0
PERMAJU INDUSTRIES BERHAD,7080, Main Market,Consumer Products & Services ,0.195,0.45,-2.99,-20,-2.06,0,0,0.6,41.79,1,81.30,Neutral,59.5,Neutral,66.7
PESONA METRO HOLDINGS BERHAD,8311, Main Market,Construction ,0.17,0.385,4.62,18,1.19,0,0,0.82,83.58,0,145.90,Neutral,46.9,Oversold,15.4
PESTECH INTERNATIONAL BERHAD,5219, Main Market,Industrial Products & Services ,0.95,1.79,10.3,17,6.77,0,0,1.75,89.36,1,878.90,Neutral,42,Oversold,18.2
PETERLABS HOLDINGS BERHAD,171, Ace Market,Consumer Products & Services ,0.235,0.345,8.04,15,1.81,0,0,1.22,42.11,1,59.10,Neutral,40.3,Oversold,0
PETRONAS CHEMICALS GROUP BERHAD,5183, Main Market,Industrial Products & Services ,7.93,10.2,16.34,15,62.24,32,0.0346,2.43,244.7,4,74000.00,Neutral,61.1,Neutral,75.9
PETRONAS DAGANGAN BHD,5681, Main Market,Consumer Products & Services ,23,28.48,14.4,31,85.55,70,0.0264,4.46,3026.69,1,26326.50,Neutral,50,Neutral,30.8
PIMPINAN EHSAN BERHAD,5622, Main Market,Construction ,0.61,2.6,191.62,0,199.21,0,0,0.87,0,,62.20,Overbought,71,Overbought,100
PINEAPPLE RESOURCES BERHAD,6, Ace Market,Technology ,0.24,0.73,0.09,535,0.05,0,0,0.49,119.28,0,12.90,Neutral,42,Oversold,8.3
PINEHILL PACIFIC BERHAD,1902, Main Market,Plantation ,0.14,0.69,-40.18,-2,-20.49,0,0,0.63,12.91,2,47.90,Neutral,43.9,Neutral,57.1
PJBUMI BERHAD,7163, Main Market,Industrial Products & Services ,0.1,0.3,4.41,25,1.19,0,0,1.09,6.13,5,24.20,Neutral,68.2,Overbought,97.1
PLASTRADE TECHNOLOGY BERHAD,38, Ace Market,Industrial Products & Services ,0.12,0.275,-0.16,-6,-2.72,0,0,0.01,25.39,1,28.00,Neutral,52.5,Neutral,71.4
PLENITUDE BERHAD,5075, Main Market,Property ,1.35,1.65,3.13,12,12.69,4.5,0.0304,0.36,63.27,2,564.70,Neutral,54.3,Neutral,50
PLS PLANTATIONS BERHAD,9695, Main Market,Plantation ,0.65,1.12,-5.84,-29,-3.29,0,0,1.69,19.6,5,310.40,Neutral,52.5,Neutral,74.1
PMB TECHNOLOGY BERHAD,7172, Main Market,Industrial Products & Services ,2.18,4.7,2.61,55,5.77,1.93,0.006,1.45,275.2,1,517.20,Neutral,46.1,Neutral,52.4
PNE PCB BERHAD,6637, Main Market,Industrial Products & Services ,0.45,0.57,-3.35,-32,-1.71,0,0,1.06,69.71,1,71.00,Neutral,53.3,Overbought,90
POH HUAT RESOURCES HOLDINGS BERHAD,7088, Main Market,Consumer Products & Services ,1.15,1.64,16.04,6,24.07,6,0.0385,1.04,281.59,1,364.00,Neutral,43.6,Oversold,20
POH HUAT RESOURCES HOLDINGS BERHAD,7088, Main Market,Consumer Products & Services ,1.15,1.64,16.04,6,24.07,6,0.0395,1.01,281.59,1,354.70,Neutral,33.2,Oversold,0
POH HUAT RESOURCES HOLDINGS BERHAD,7088, Main Market,Consumer Products & Services ,1.15,1.64,16.04,6,24.07,6,0.04,1,281.59,1,350.00,Oversold,29,Oversold,0
POH KONG HOLDINGS BERHAD,5080, Main Market,Consumer Products & Services ,0.44,0.57,4.37,9,5.64,1,0.0206,0.38,254.63,0,199.00,Neutral,51.6,Neutral,40
POH KONG HOLDINGS BERHAD,5080, Main Market,Consumer Products & Services ,0.44,0.57,4.37,9,5.64,1,0.0206,0.38,254.63,0,199.00,Neutral,47.8,Oversold,20
POS MALAYSIA BERHAD,4634, Main Market,Transportation & Logistics ,1.55,4.47,0.24,337,0.56,8,0.0421,0.8,308.33,1,1487.30,Neutral,44.4,Oversold,5.3
POWER ROOT BERHAD,7237, Main Market,Consumer Products & Services ,1.15,1.95,6.35,42,3.36,5.05,0.0358,2.67,84.26,2,567.20,Neutral,48.1,Oversold,10
PPB GROUP BERHAD,4065, Main Market,Consumer Products & Services ,16.4,21.04,5.11,24,75.57,28,0.0151,1.25,318.31,6,26318.10,Neutral,58.5,Neutral,37.5
PRESS METAL ALUMINIUM HOLDINGS BERHAD,8869, Main Market,Industrial Products & Services ,3.8,5.26,19.5,28,15.68,6.3,0.0146,5.37,228.59,2,17355.90,Neutral,51.7,Neutral,61.9
PRESTAR RESOURCES BERHAD,9873, Main Market,Industrial Products & Services ,0.5,0.995,4.28,12,6.16,1,0.014,0.5,347.25,0,146.50,Overbought,70.7,Overbought,96.7
PRESTARIANG BERHAD,5204, Main Market,Technology ,0.255,1.71,0.46,361,0.15,0.7,0.0133,1.6,42.06,1,254.10,Neutral,66,Neutral,69.6
PRG HOLDINGS BERHAD,7168, Main Market,Consumer Products & Services ,0.7,0.92,-6.67,-26,-2.84,0,0,1.75,46.06,2,240.40,Oversold,28.6,Neutral,50
PRICEWORTH INTERNATIONAL BERHAD,7123, Main Market,Industrial Products & Services ,0.035,0.29,-6.09,-6,-0.67,0,0,0.36,2.42,2,163.80,Neutral,40,Oversold,0
PRINSIPTEK CORPORATION BERHAD,7145, Main Market,Construction ,0.095,0.165,0.82,27,0.46,0,0,0.22,13.22,1,43.60,Neutral,46.9,Neutral,25
PRIVASIA TECHNOLOGY BERHAD,123, Ace Market,Telecommunications & Media ,0.045,0.15,-6.17,-9,-0.74,0,0,0.54,9.41,1,36.30,Neutral,48.8,Oversold,16.7
PROGRESSIVE IMPACT CORPORATION BERHAD,7201, Main Market,Industrial Products & Services ,0.09,0.225,1.75,58,0.21,0.15,0.012,1.04,13.29,1,82.30,Neutral,51.5,Neutral,25
PROLEXUS BERHAD,8966, Main Market,Consumer Products & Services ,0.5,0.85,1.4,31,1.8,0.5,0.0091,0.43,188.17,0,99.20,Neutral,35.1,Neutral,20.8
PROTASCO BERHAD,5070, Main Market,Construction ,0.19,1.03,-14.55,-3,-9.8,0,0,0.37,180.13,0,123.80,Neutral,48.6,Neutral,50
PUBLIC PACKAGES HOLDINGS BHD,8273, Main Market,Industrial Products & Services ,0.39,0.69,8.54,6,10.08,0,0,0.48,105.44,1,107.50,Neutral,59.1,Neutral,70
PUC BERHAD,7, Ace Market,Telecommunications & Media ,0.09,0.28,2.35,32,0.3,0,0,0.74,2.43,4,205.00,Neutral,44.6,Oversold,0
PUNCAK NIAGA HOLDINGS BERHAD,6807, Main Market,Construction ,0.315,0.695,-12.38,-1,-37.76,0.5,0.0128,0.13,51.3,1,175.20,Neutral,52.9,Neutral,53.3
PWF CONSOLIDATED BERHAD,7134, Main Market,Consumer Products & Services ,0.7,0.95,4.51,11,7.93,3,0.0353,0.48,202.17,0,147.90,Neutral,54.3,Neutral,44
QES GROUP BERHAD,196, Ace Market,Industrial Products & Services ,0.165,0.38,15.5,13,1.86,0,0,2,25.46,1,182.00,Neutral,52.1,Neutral,33.3
QL RESOURCES BERHAD,7084, Main Market,Consumer Products & Services ,4.28,7.63,11.48,50,13.55,4.5,0.0066,5.75,215.71,3,11016.40,Neutral,44.9,Oversold,12.5
QUALITY CONCRETE HOLDINGS BERHAD,7544, Main Market,Industrial Products & Services ,0.705,0.89,-9.64,-5,-17.65,0,0,0.45,215.14,0,47.20,Neutral,51.4,Overbought,87.5
RADIANT GLOBALTECH BERHAD,202, Ace Market,Technology ,0.23,0.65,5.1,42,0.57,0,0,2.15,11.78,2,126.00,Neutral,44.8,Oversold,16.7
RALCO CORPORATION BERHAD,7498, Main Market,Industrial Products & Services ,0.19,0.58,-22.2,-1,-21.76,0,0,0.22,154.31,0,10.20,Neutral,40.3,Neutral,33.3
RANHILL HOLDINGS BERHAD,5272, Main Market,Utilities ,0.65,1.52,8.27,25,5.13,5,0.0388,2.08,175.6,1,1145.90,Neutral,49.1,Neutral,20.7
RAPID SYNERGY BERHAD,7765, Main Market,Property ,5.21,6.15,0.4,1088,0.52,0,0,4.35,28.22,20,609.30,Neutral,45.5,Neutral,28.6
RCE CAPITAL BERHAD,9296, Main Market,Financial Services ,1.06,1.72,16.06,6,26.34,8,0.0476,1.02,71.78,2,604.80,Neutral,69.3,Overbought,87.5
REACH ENERGY BERHAD,5256, Main Market,Energy ,0.21,0.52,-5.26,-7,-4.05,0,0,0.39,20.09,1,328.90,Neutral,45.9,Neutral,35.7
REDTONE INTERNATIONAL BERHAD,32, Ace Market,Telecommunications & Media ,0.15,0.33,9.07,17,1.81,0,0,1.55,18.09,2,235.10,Overbought,71.4,Overbought,85.2
REDTONE INTERNATIONAL BERHAD,32, Ace Market,Telecommunications & Media ,0.15,0.335,9.07,16,1.81,0,0,1.43,18.09,2,216.10,Neutral,62.4,Neutral,58.3
REDTONE INTERNATIONAL BERHAD,32, Ace Market,Telecommunications & Media ,0.15,0.335,9.07,16,1.81,0,0,1.43,18.09,2,216.10,Neutral,62,Neutral,52.4
REDTONE INTERNATIONAL BERHAD,32, Ace Market,Telecommunications & Media ,0.15,0.335,9.07,17,1.81,0,0,1.5,18.09,2,227.50,Neutral,66,Neutral,66.7
RESINTECH BERHAD,7232, Main Market,Industrial Products & Services ,0.26,0.365,0.85,36,0.83,2.5,0.0833,0.31,64.06,0,41.20,Neutral,47.3,Neutral,42.9
REV ASIA BERHAD,173, Ace Market,Telecommunications & Media ,0.16,0.435,-9.2,-43,-0.46,0,0,4,0,,26.90,Neutral,41.4,Oversold,0
REVENUE GROUP BERHAD,200, Ace Market,Technology ,0.495,1.57,16.81,34,3.53,0,0,5.67,21.71,5,265.20,Neutral,43.7,Oversold,6.3
REXIT BERHAD,106, Ace Market,Technology ,0.525,0.72,22.33,15,4.02,3,0.05,3.33,11.05,5,113.60,Neutral,48.1,Neutral,22.2
RGB INTERNATIONAL BHD,37, Main Market,Consumer Products & Services ,0.18,0.305,15.2,9,2.28,0,0,1.43,24.62,1,331.20,Neutral,42.3,Oversold,12.5
RHB BANK BERHAD,1066, Main Market,Financial Services ,4.99,5.94,9.88,10,57.49,7.5,0.0135,0.96,298.06,2,22295.90,Neutral,50.4,Neutral,25.5
RHONE MA HOLDINGS BERHAD,5278, Main Market,Consumer Products & Services ,0.7,1,9.62,14,5.51,0.91,0.0121,1.31,74.06,1,137.00,Neutral,50.3,Neutral,46.2
RIMBUNAN SAWIT BERHAD,5113, Main Market,Plantation ,0.14,0.33,-33.8,-2,-10.14,0,0,0.65,23.68,1,276.60,Neutral,49.9,Neutral,40
ROHAS TECNIC BERHAD,9741, Main Market,Industrial Products & Services ,0.54,1.45,4.67,17,3.41,1.5,0.0265,0.77,85.09,1,267.10,Neutral,37.6,Oversold,18.5
RUBBEREX CORPORATION (M) BERHAD,7803, Main Market,Industrial Products & Services ,0.43,0.655,3.55,15,3.05,1.75,0.038,0.53,139.99,0,116.00,Neutral,50.6,Neutral,66.7
S P SETIA BERHAD,8664, Main Market,Property ,1.93,3.3,1.9,13,16.95,3.88,0.0172,0.25,90.78,2,8906.80,Neutral,35.2,Neutral,20.5
SALCON BERHAD,8567, Main Market,Utilities ,0.22,0.475,0.46,101,0.25,0,0,0.47,15.4,2,216.00,Neutral,59.1,Overbought,80
SALUTICA BERHAD,183, Main Market,Consumer Products & Services ,0.35,0.775,1.34,66,0.57,2.4,0.0632,0.89,49.92,1,147.40,Neutral,45.1,Neutral,27.8
SAMCHEM HOLDINGS BERHAD,5147, Main Market,Industrial Products & Services ,0.6,1.15,14.81,8,7.85,2,0.0331,1.14,402.65,0,164.60,Neutral,33.4,Oversold,10
SAMCHEM HOLDINGS BERHAD,5147, Main Market,Industrial Products & Services ,0.595,1.15,14.81,8,7.85,2,0.0333,1.13,402.65,0,163.20,Neutral,34.9,Oversold,14.3
SAMCHEM HOLDINGS BERHAD,5147, Main Market,Industrial Products & Services ,0.595,1.15,14.81,8,7.85,2,0.0333,1.13,402.65,0,163.20,Neutral,36.8,Oversold,20
SAMCHEM HOLDINGS BERHAD,5147, Main Market,Industrial Products & Services ,0.595,1.15,14.81,8,7.85,2,0.0336,1.12,402.65,0,161.80,Neutral,34.6,Oversold,0
SAND NISKO CAPITAL BERHAD,7943, Main Market,Consumer Products & Services ,0.225,0.31,-12.2,-6,-4.27,0,0,0.69,22.17,1,15.80,Neutral,43,Oversold,16.7
SANICHI TECHNOLOGY BERHAD,133, Ace Market,Industrial Products & Services ,0.05,0.18,-22.91,-3,-1.83,0,0,0.69,2.86,2,61.00,Neutral,41.4,Neutral,33.3
SAPURA ENERGY BERHAD,5218, Main Market,Energy ,0.255,0.91,16.9,25,1.3,0.04,0.0012,4.29,33.18,1,5273.10,Neutral,53.6,Neutral,38.5
SAPURA ENERGY BERHAD,5218, Main Market,Energy ,0.255,0.91,16.9,25,1.3,0.04,0.0012,4.29,33.18,1,5273.10,Neutral,50.6,Neutral,25
SAPURA ENERGY BERHAD,5218, Main Market,Energy ,0.255,0.91,16.9,26,1.3,0.04,0.0012,4.35,33.18,1,5353.00,Neutral,53.4,Neutral,33.3
SAPURA INDUSTRIAL BERHAD,7811, Main Market,Industrial Products & Services ,0.69,0.9,4.04,14,5.82,4,0.05,0.56,314.37,0,58.20,Neutral,61.3,Overbought,100
SAPURA INDUSTRIAL BERHAD,7811, Main Market,Industrial Products & Services ,0.69,0.9,4.04,13,5.82,4,0.0526,0.53,314.37,0,55.30,Neutral,54.2,Neutral,60
SAPURA RESOURCES BERHAD,4596, Main Market,Property ,0.6,1.12,-1.35,-14,-4.4,0,0,0.19,34.99,2,88.60,Neutral,47.4,Neutral,70
SAPURA RESOURCES BERHAD,4596, Main Market,Property ,0.6,1.12,-1.35,-14,-4.4,0,0,0.19,34.99,2,85.90,Neutral,42.8,Neutral,30
SARAWAK CABLE BERHAD,5170, Main Market,Industrial Products & Services ,0.205,0.65,-0.16,-3,-12.35,0,0,0,249.23,0,115.70,Overbought,73.8,Overbought,80
SARAWAK CONSOLIDATED INDUSTRIES BERHAD,9237, Main Market,Industrial Products & Services ,0.3,0.81,-19.54,-4,-11.14,0,0,0.88,88.26,1,42.90,Neutral,53.4,Neutral,64.7
SARAWAK OIL PALMS BERHAD,5126, Main Market,Plantation ,1.96,3.75,2.86,24,10.74,0,0,0.69,618.86,0,1484.30,Neutral,50.4,Neutral,21.9
SAUDEE GROUP BERHAD,5157, Main Market,Consumer Products & Services ,0.28,0.475,-4.77,-14,-2.24,0,0,0.67,53.87,1,41.70,Neutral,50.7,Neutral,42.9
SAUDEE GROUP BERHAD,5157, Main Market,Consumer Products & Services ,0.28,0.475,-4.77,-14,-2.24,0,0,0.68,53.87,1,42.40,Neutral,53.3,Neutral,57.1
SBC CORPORATION BERHAD,5207, Main Market,Property ,0.4,0.63,2.21,13,3.78,0,0,0.3,48.51,1,130.40,Neutral,50.1,Neutral,60
SC ESTATE BUILDER BERHAD,109, Ace Market,Construction ,0.01,0.035,4.1,19,0.16,0,0,0.77,1.54,2,26.50,Neutral,64.4,Overbought,100
SCANWOLF CORPORATION BERHAD,7239, Main Market,Industrial Products & Services ,0.14,0.35,-16.51,-3,-6.44,0,0,0.45,50.87,0,16.80,Neutral,52.3,Overbought,87.5
SCC HOLDINGS BERHAD,158, Ace Market,Consumer Products & Services ,0.47,0.56,16.62,10,4.98,3.4,0.0654,1.74,46.87,1,73.40,Neutral,51.4,Neutral,37.5
SCGM BHD,7247, Main Market,Industrial Products & Services ,1,1.91,1.31,95,1.12,1.25,0.0118,1.24,112.14,1,205.20,Oversold,26.7,Neutral,23.5
SCGM BHD,7247, Main Market,Industrial Products & Services ,1,1.91,1.31,93,1.12,1.25,0.012,1.22,112.14,1,201.30,Oversold,23.2,Oversold,5.9
SCICOM (MSC) BERHAD,99, Main Market,Industrial Products & Services ,0.9,2.16,23.29,18,6.52,8.5,0.0708,4.29,43.55,3,426.50,Neutral,44.1,Oversold,10
SCIENTEX BERHAD,4731, Main Market,Industrial Products & Services ,6.51,9.48,14.28,16,53.82,20,0.0236,2.25,547,2,4366.90,Neutral,42.8,Neutral,35.4
SCIENTEX BERHAD,4731, Main Market,Industrial Products & Services ,6.51,9.48,14.28,16,53.82,20,0.0235,2.25,547,2,4372.00,Neutral,44.1,Neutral,56.3
SCIENTEX BERHAD,4731, Main Market,Industrial Products & Services ,6.51,9.48,14.28,16,53.82,20,0.0237,2.24,547,2,4336.00,Neutral,40.2,Neutral,40.7
SCIENTEX BERHAD,4731, Main Market,Industrial Products & Services ,6.51,9.48,14.28,16,53.82,20,0.0234,2.27,547,2,4397.80,Neutral,48.8,Overbought,85.2
SCOMI ENERGY SERVICES BHD,7045, Main Market,Energy ,0.03,0.115,-29.33,-1,-6.16,0,0,0.24,25.33,0,117.10,Neutral,45.9,Neutral,33.3
SCOMI GROUP BERHAD,7158, Main Market,Energy ,0.04,0.145,-88.92,0,-21.34,0,0,0.19,50.64,0,49.20,Neutral,49.1,Neutral,33.3
SCOPE INDUSTRIES BERHAD,28, Ace Market,Industrial Products & Services ,0.115,0.195,-1.06,-77,-0.22,0.5,0.0294,0.82,3.12,5,95.30,Neutral,63.4,Neutral,75
SEACERA GROUP BERHAD,7073, Main Market,Industrial Products & Services ,0.155,0.75,-6.38,-4,-9.85,0,0,0.24,5.27,7,163.50,Neutral,65.8,Neutral,76.5
SEACERA GROUP BERHAD,7073, Main Market,Industrial Products & Services ,0.155,0.72,-6.42,-4,-9.41,0,0,0.25,5.04,7,171.20,Neutral,61.2,Neutral,73.7
SEALINK INTERNATIONAL BERHAD,5145, Main Market,Transportation & Logistics ,0.09,0.19,-5.34,-4,-3.95,0,0,0.19,14.33,1,70.00,Neutral,60.8,Overbought,83.3
SECUREMETRIC BERHAD,203, Ace Market,Technology ,0.37,0.56,5.47,64,0.82,0,0,3.47,8.66,6,126.70,Neutral,58.4,Overbought,81.3
SEDANIA INNOVATOR BERHAD,178, Ace Market,Telecommunications & Media ,0.09,0.3,-16.55,-6,-1.93,0,0,1.03,5.47,2,27.10,Neutral,50,Neutral,28.6
SEE HUP CONSOLIDATED BERHAD,7053, Main Market,Transportation & Logistics ,0.92,1.31,-4.04,-22,-4.19,1.8,0.0196,0.89,121.42,1,74.00,Oversold,20.9,Oversold,0
SEG INTERNATIONAL BHD,9792, Main Market,Consumer Products & Services ,0.605,0.68,45.47,19,3.33,2.7,0.0429,8.6,19.95,3,796.70,Neutral,32.7,Oversold,0
SELANGOR DREDGING BERHAD,2224, Main Market,Property ,0.6,0.96,1.18,27,2.44,2.5,0.0382,0.32,60.77,1,279.10,Neutral,48.3,Neutral,25
SELANGOR PROPERTIES BERHAD,1783, Main Market,Property ,3.95,6.24,2.48,35,18.01,0,0,0.86,50.24,12,2144.20,Overbought,85.3,Overbought,100
