full name,code,Sector_main,sector,52w_low,52w_high,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap (M),RSI_status,RSI_value,Stochastic_status,Stochastic_value
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,1.41,2.48,6.38,6,24.58,4.96,0.0312,0.41,379.87,0,209.40,Neutral,47,Neutral,37.5
CHUAN HUAT RESOURCES BHD,7016, Main Market,Industrial Products & Services ,0.23,0.485,2.51,8,4.71,1.1,0.0278,0.21,421.45,0,66.60,Neutral,60.1,Overbought,90
CIMB GROUP HOLDINGS BERHAD,1023, Main Market,Financial Services ,5.21,7.36,10.87,9,58.38,13,0.0241,1,181.74,3,51552.40,Oversold,26.6,Oversold,2
CJ CENTURY LOGISTICS HOLDINGS BERHAD,7117, Main Market,Transportation & Logistics ,0.385,0.8,2.99,18,2.48,0.75,0.0167,0.54,101.72,0,177.40,Neutral,44.6,Neutral,28
CLASSIC SCENIC BERHAD,7202, Main Market,Consumer Products & Services ,1.05,1.58,7.59,19,6,6,0.0531,1.43,52.19,2,136.20,Neutral,56.8,Neutral,71.4
CME GROUP BERHAD,7018, Main Market,Industrial Products & Services ,0.035,0.064,-19.57,-2,-2.11,0,0,0.37,4.15,1,23.40,Neutral,54.6,Overbought,100
CN ASIA CORPORATION BHD,7986, Main Market,Industrial Products & Services ,0.4,0.9,3.92,12,3.57,0,0,0.48,44.84,1,19.70,Neutral,48.2,Neutral,58.3
CNI HOLDINGS BERHAD,5104, Main Market,Consumer Products & Services ,0.06,0.095,1,66,0.11,0.3,0.0429,0.64,11.98,1,50.40,Neutral,55.9,Neutral,66.7
COASTAL CONTRACTS BHD,5071, Main Market,Energy ,0.735,1.37,-45.42,-1,-103.19,0,0,0.59,26.68,5,707.00,Overbought,80.5,Overbought,89.2
COCOALAND HOLDINGS BERHAD,7205, Main Market,Consumer Products & Services ,1.83,2.73,13.12,15,13.51,6,0.0294,1.98,110.9,2,466.80,Neutral,46.9,Oversold,9.1
COMFORT GLOVES BERHAD,2127, Main Market,Industrial Products & Services ,0.69,1.1,10.12,17,4.96,0,0,1.77,84.33,1,486.10,Neutral,56.4,Overbought,88.9
COMFORT GLOVES BERHAD,2127, Main Market,Industrial Products & Services ,0.69,1.1,10.12,17,4.96,0,0,1.76,84.33,1,483.30,Neutral,56.4,Overbought,88.9
COMPLETE LOGISTIC SERVICES BERHAD,5136, Main Market,Transportation & Logistics ,0.535,0.93,7.61,9,9.21,0,0,0.72,100.61,1,108.10,Neutral,63.9,Neutral,62.5
COMPUGATES HOLDINGS BERHAD,5037, Main Market,Industrial Products & Services ,0.02,0.03,-5.2,-10,-0.26,0,0,0.5,0.82,3,58.70,Neutral,48.1,Neutral,50
COMPUTER FORMS (MALAYSIA) BERHAD,8044, Main Market,Industrial Products & Services ,0.9,1.36,-10.76,-10,-12.27,0,0,1.1,91.34,1,51.30,Neutral,53.9,Neutral,55
CONNECTCOUNTY HOLDINGS BERHAD,102, Ace Market,Industrial Products & Services ,0.105,0.19,-32.11,-4,-2.89,0,0,1.17,30.25,0,34.60,Neutral,40.9,Oversold,0
COUNTRY HEIGHTS HOLDINGS BHD,5738, Main Market,Property ,0.867,1.6,9.97,5,30.91,0,0,0.48,32.88,5,410.80,Neutral,49,Neutral,45.5
CRESCENDO CORPORATION BERHAD,6718, Main Market,Property ,1.19,1.4,4.15,10,13.33,6,0.0458,0.41,105.4,1,367.40,Neutral,54.8,Neutral,40
CRESCENDO CORPORATION BERHAD,6718, Main Market,Property ,1.19,1.4,4.15,10,13.33,6,0.0462,0.4,105.4,1,364.60,Neutral,52.8,Neutral,33.3
CREST BUILDER HOLDINGS BERHAD,8591, Main Market,Construction ,0.79,1.1,13.86,3,39.78,0,0,0.35,336.54,0,176.90,Neutral,68,Neutral,63.6
CSC STEEL HOLDINGS BERHAD,5094, Main Market,Industrial Products & Services ,0.975,1.44,2.64,19,5.76,0,0,0.49,363.78,0,406.60,Neutral,41.2,Oversold,13.3
CUSCAPI BERHAD,51, Main Market,Technology ,0.13,0.485,-21.25,-8,-2.55,0,0,1.63,3.4,6,167.60,Neutral,43.3,Neutral,22.2
CWG HOLDINGS BERHAD,9423, Main Market,Consumer Products & Services ,0.415,0.54,6.33,10,4.24,1.49,0.0355,0.63,79.98,1,53.00,Neutral,43.5,Oversold,14.3
CYCLE & CARRIAGE BINTANG BERHAD,2925, Main Market,Consumer Products & Services ,1.44,2.18,7.61,7,22.15,0,0,0.54,1502.11,0,158.20,Neutral,48.4,Neutral,77.8
CYL CORPORATION BERHAD,7157, Main Market,Industrial Products & Services ,0.4,0.69,-2.94,-23,-1.84,0,0,0.67,53.46,1,42.00,Neutral,41.4,Oversold,14.3
CYL CORPORATION BERHAD,7157, Main Market,Industrial Products & Services ,0.4,0.69,-2.94,-23,-1.84,0,0,0.69,53.46,1,43.00,Neutral,43.1,Neutral,21.4
CYMAO HOLDINGS BERHAD,5082, Main Market,Industrial Products & Services ,0.295,0.41,-9.08,-6,-5.72,0,0,0.55,124.24,0,25.90,Neutral,45.3,Neutral,30
CYPARK RESOURCES BERHAD,5184, Main Market,Industrial Products & Services ,1.5,2.67,12.99,11,15.53,2.32,0.0137,1.41,74.69,2,774.50,Neutral,47.3,Neutral,25
D.B.E. GURNEY RESOURCES BERHAD,7179, Main Market,Consumer Products & Services ,0.025,0.04,-50.5,-3,-1.01,0,0,1.5,4.04,1,80.30,Neutral,51.8,Neutral,50
DAGANG NEXCHANGE BERHAD,4456, Main Market,Technology ,0.195,0.465,7.73,14,2.01,0,0,1.12,16.69,2,509.80,Neutral,51,Neutral,37.5
DAIMAN DEVELOPMENT BHD,5355, Main Market,Property ,1.95,3.02,1.65,32,9.32,5,0.0167,0.53,69.83,4,634.50,Neutral,69.9,Neutral,66.7
DANCOMECH HOLDINGS BERHAD,5276, Main Market,Industrial Products & Services ,0.335,0.605,12.85,12,5.04,0.77,0.0129,1.52,26.82,2,177.30,Neutral,69.6,Overbought,91.3
DATAPREP HOLDINGS BHD,8338, Main Market,Technology ,0.175,0.295,-39,-11,-1.95,0,0,4.2,8.97,2,88.50,Neutral,45.1,Neutral,28.6
DATASONIC GROUP BERHAD,5216, Main Market,Technology ,0.295,1.04,16.52,16,3.13,2.5,0.0505,2.61,16.85,3,668.30,Neutral,57.5,Neutral,77.8
DAYA MATERIALS BERHAD,91, Main Market,Energy ,0.005,0.04,105.29,0,-7.76,0,0,-0.07,14.23,0,10.20,Neutral,39.6,Oversold,0
DEGEM BERHAD,7119, Main Market,Consumer Products & Services ,0.92,1.1,-0.01,-15672,-0.01,1,0.0095,0.55,120.87,1,140.70,Neutral,51.8,Neutral,61.5
DELEUM BERHAD,5132, Main Market,Energy ,0.9,1.34,8.16,17,6.77,3.5,0.0313,1.35,155.48,1,449.30,Neutral,50.2,Neutral,23.8
DESTINI BERHAD,7212, Main Market,Industrial Products & Services ,0.12,0.56,0.36,144,0.16,0,0,0.51,34.72,1,259.90,Neutral,49.2,Neutral,40
DGB ASIA BERHAD,152, Ace Market,Technology ,0.105,0.185,-14.42,-13,-1.03,0,0,1.82,0.73,18,98.30,Neutral,49.5,Neutral,66.7
DIGISTAR CORPORATION BERHAD,29, Main Market,Technology ,0.04,0.115,-32.09,-1,-3.09,0,0,0.47,8.38,1,29.60,Neutral,45.1,Oversold,0
